word,frequency,probability
च,2697,0.0705596107055961
न,1512,0.03955733458912173
स,1092,0.028569186092143473
तु,949,0.02482798315150564
हि,898,0.023493707976872565
ते,733,0.019176935353059678
मे,578,0.015121785312508176
तं,481,0.01258404625487272
वा,397,0.01038641655547707
मां,354,0.009261439447453104
मम,348,0.009104465897496273
सा,332,0.008685869764278053
राजा,321,0.008398084922690527
मया,297,0.007770190722863198
रामं,263,0.006880673939774482
ततो,262,0.006854511681448343
यथा,254,0.006645213614839233
राम,238,0.006226617481621013
चैव,235,0.006148130706642598
तां,232,0.006069643931664181
सह,231,0.006043481673338042
रामो,221,0.005781859090076656
तथा,214,0.005598723281793685
नाम,204,0.005337100698532297
यदि,198,0.005180127148575465
तदा,190,0.004970829081966355
वचनं,187,0.0048923423069879395
तव,178,0.004656881982052691
किं,175,0.004578395207074274
इव,169,0.004421421657117442
इति,165,0.004316772623812888
ततः,156,0.004081312298877639
सीता,154,0.004028987782225362
कथं,138,0.0036103916490071424
चापि,135,0.0035319048740287263
वै,134,0.0035057426157025875
तेन,130,0.0034010935823980326
एवं,130,0.0034010935823980326
तौ,128,0.0033487690657457553
ये,126,0.0032964445490934777
रामेण,118,0.0030871464824843682
सीतां,113,0.0029563351908536745
महातेजा,110,0.0028778484158752584
वनं,104,0.0027208748659184262
रामः,102,0.0026685503492661486
वीर,97,0.0025377390576354552
तेषां,93,0.0024330900243309003
देवि,93,0.0024330900243309003
लोके,92,0.0024069277660047615
वने,91,0.0023807655076786226
अथ,90,0.0023546032493524842
मा,86,0.0022499542160479293
भूमौ,79,0.0020668184077649583
पुनः,79,0.0020668184077649583
यो,78,0.0020406561494388195
येन,76,0.001988331632786542
वैदेहीं,74,0.0019360071161342648
नूनं,73,0.001909844857808126
मयि,72,0.0018836825994819873
वैदेही,71,0.0018575203411558487
अहं,71,0.0018575203411558487
तात,70,0.0018313580828297098
पिता,70,0.0018313580828297098
कृतं,69,0.0018051958245035712
एव,68,0.0017790335661774324
जगाम,66,0.001726709049525155
या,66,0.001726709049525155
देवी,65,0.0017005467911990163
खलु,65,0.0017005467911990163
एष,64,0.0016743845328728777
नु,63,0.0016482222745467388
भरतं,62,0.0016220600162206002
परं,62,0.0016220600162206002
इदं,61,0.0015958977578944614
वाली,61,0.0015958977578944614
महाबाहो,60,0.0015697354995683227
रामे,56,0.0014650864662637678
विना,56,0.0014650864662637678
सहसा,55,0.0014389242079376292
काले,55,0.0014389242079376292
पितरं,55,0.0014389242079376292
महता,54,0.0014127619496114904
कैकेयी,53,0.0013865996912853517
सीतया,52,0.0013604374329592131
पुरीं,51,0.0013342751746330743
बभूव,51,0.0013342751746330743
कुरु,50,0.0013081129163069357
रावणं,50,0.0013081129163069357
उवाच,50,0.0013081129163069357
भरतो,49,0.0012819506579807968
तत,49,0.0012819506579807968
वयं,49,0.0012819506579807968
तथैव,48,0.0012557883996546582
रूपं,48,0.0012557883996546582
पुरा,47,0.0012296261413285196
