ending,frequency,probability
गया,32315,0.024436685806153522
है,446319,0.3375075714781567
से,532,0.0004022997632329777
होगी,10516,0.007952226146913521
हैं,185297,0.1401220662176336
किया,22895,0.01731325766770493
करेंगे,7636,0.005774362767005672
हूं,7494,0.005666982003135216
था,84498,0.06389760412342134
समझे,29,2.192987431157209e-05
रहेंगे,1611,0.0012182423281359531
चाहिए,11979,0.00905855049580421
मानेंगे,31,2.34422794365081e-05
सकती,792,0.0005989124294746585
करूंगा,469,0.0003546590017974935
हो,4852,0.0036690948330947515
करें,4796,0.003626747489596543
तक,49,3.7053925560932156e-05
गई,21179,0.01601561407050984
हुआ,7287,0.005510448072704339
दिया,23736,0.017949224022740524
,39,2.9491899936252126e-05
जाएगा,12418,0.009390523420727664
दी,14364,0.010862093607290398
की,18065,0.013660799290984477
थे,40881,0.030914316956254437
सकें,1154,0.0008726577570880757
गए,15413,0.011655350095319332
थी,54899,0.04151476447693091
गिराया,523,0.00039549394017076564
रही,2726,0.0020614081852877767
होगा,12961,0.00980114141214779
लिए,1149,0.0008688767442757356
खुला,171,0.00012931063818202854
रहा,4101,0.003101186708681281
वही,2,1.5124051249360064e-06
देगा,1043,0.0007887192726541274
मिला,2615,0.0019774697008538285
लगता,105,7.940126905914033e-05
ऐसी,1,7.562025624680032e-07
यहां,15,1.1343038437020048e-05
बेबी,24,1.8148861499232076e-05
देगी,1074,0.0008121615520906354
ली..,20,1.5124051249360063e-05
देखिए,153,0.00011569899205760448
दिलाएगा,30,2.2686076874040095e-05
वाले,54,4.0834938373272175e-05
जाएंगे,3472,0.002625535296888907
दिखते,29,2.192987431157209e-05
बनाया,918,0.0006941939523456269
रु,850,0.0006427721780978027
पहुंचे,2516,0.001902605647169496
होंगे,4789,0.003621454071659267
जाएं,1033,0.0007811572470294472
कहर,1,7.562025624680032e-07
लेगी,283,0.0002140053251784449
..,265,0.00020039367905402085
रहेंगी,344,0.00026013368148899307
थीं,7082,0.005355426547398398
आईं,847,0.0006405035704103987
हुई,6955,0.0052593888219649625
के,758,0.0005732015423507464
आए,2773,0.0020969497057237727
भेजा,250,0.00018905064061700079
दिए,2083,0.0015751699376208507
यात्रा,12,9.074430749616038e-06
आई,1698,0.0012840319510706694
ली,3983,0.0030119548063100568
रुके,77,5.822759731003625e-05
लगे,2153,0.0016281041169936108
लिया,8839,0.00668407444965468
नावेद,1,7.562025624680032e-07
जाएगी,6298,0.004762563738423484
जाएंगी,700,0.0005293417937276022
डाला,1171,0.0008855132006500317
रूकी,20,1.5124051249360063e-05
निकाला,346,0.0002616460866139291
कराया,662,0.0005006060963538181
हुए,3147,0.002379769464086806
रखे,104,7.864506649667233e-05
बनेगा,326,0.000246522035364569
आएगी,669,0.0005058995142910942
मिलेंगे,576,0.00043557267598156983
करते,548,0.00041439900423246575
मिली,2055,0.0015539962658717465
लगाया,983,0.0007433471189060471
निभाएंगे,174,0.00013157924586943256
रखो,43,3.2516710186124134e-05
यह,1,7.562025624680032e-07
से..,38,2.8735697373784122e-05
दिखा,250,0.00018905064061700079
मौत,10,7.5620256246800315e-06
जिक्र,1,7.562025624680032e-07
थे.,21,1.588025381182807e-05
गिरा,81,6.125240755990826e-05
लगा,1768,0.0013369661304434297
था.,11,8.318228187148034e-06
होता,917,0.0006934377497831589
करता,325,0.00024576583280210105
सकता,1901,0.0014375410712516741
चांस,13,9.830633312084042e-06
बोझ,4,3.024810249872013e-06
भरेगा,55,4.159114093574017e-05
भिजवाया,103,7.788886393420432e-05
जाए,5072,0.0038354593968377123
है..,752,0.0005686643269759384
भी,846,0.0006397473678479307
खान,169,0.00012779823305709254
घटगे,1,7.562025624680032e-07
डाउन,1,7.562025624680032e-07
बधाई,143,0.00010813696643292446
बताया,1996,0.0015093803146861344
देखी,195,0.00014745949968126063
दिखाया,382,0.0002888693788627772
शुक्रिया,148,0.00011191797924526447
शुभकामनाएं,84,6.352101524731227e-05
रहे,4945,0.0037394216714042756
पाएगी,261,0.00019736886880414883
बचाई,53,4.007873581080417e-05
उन्होंने..,12,9.074430749616038e-06
किए,2051,0.0015509714556218746
कही,851,0.0006435283806602708
शुरू,58,4.385974862314418e-05
मिले,1540,0.001164551946200725
रखा,845,0.0006389911652854627
ने,319,0.000241228617427293
ही,299,0.00022610456617793296
कीजिए,255,0.0001928316534293408
अलापेंगे,11,8.318228187148034e-06
जारी,39,2.9491899936252126e-05
आएंगे,2549,0.00192756033173094
सकी,669,0.0005058995142910942
निभाई,171,0.00012931063818202854
समझी,30,2.2686076874040095e-05
सके,3399,0.002570332509828743
चलाया,107,8.091367418407634e-05
देंगे,2643,0.0019986433726029325
नहीं,4908,0.0037114421765929596
लें,1513,0.0011441344770140888
ले,290,0.0002192987431157209
अहमदाबाद,2,1.5124051249360064e-06
लतीफ,1,7.562025624680032e-07
बनाएगी,245,0.00018526962780466077
चलाई,137,0.00010359975105811644
जीतेगी,10,7.5620256246800315e-06
कहा,1568,0.001185725617949829
चलें,48,3.629772299846415e-05
सुनी,241,0.00018224481755478876
पहुंचाया,283,0.0002140053251784449
मिलेगी,1425,0.0010775886515169044
मिलेगा,2414,0.0018254729857977597
मांगा,140,0.00010586835874552044
युवराज,1,7.562025624680032e-07
धृतराष्ट्र,1,7.562025624680032e-07
बात,96,7.25954459969283e-05
में,1268,0.0009588648492094281
बने,980,0.0007410785112186431
जताएगी,10,7.5620256246800315e-06
दें,1943,0.0014693015788753302
लगाई,423,0.00031987368392396535
सुनाया,313,0.000236691402052485
लगी,1442,0.0010904440950788607
रचाना,1,7.562025624680032e-07
सुनाएगा,90,6.805823062212028e-05
बंधेंगी,25,1.890506406170008e-05
रचाएंगे,31,2.34422794365081e-05
होंगी,1059,0.0008008185136536153
बनाएंगे,225,0.00017014557655530073
पाई,764,0.0005777387577255545
आई.एस.आई,2,1.5124051249360064e-06
जायेगी,63,4.76407614354842e-05
दोस्त,5,3.7810128123400157e-06
गूंजा,1,7.562025624680032e-07
उठाया,641,0.00048472584254199004
सकेंगे,1048,0.0007925002854664673
खेलेगा,24,1.8148861499232076e-05
दो,297,0.00022459216105299694
हमको,1,7.562025624680032e-07
बनेंगे,211,0.00015955874068074866
देंगी,431,0.0003259233044237094
बताएंगे,159,0.0001202362074324125
क्यों,223,0.0001686331714303647
करेगा,2135,0.0016144924708691869
भाई,17,1.2855443561956053e-05
.,386,0.0002918941891126492
हैं..,456,0.00034482836848540943
सकीं,53,4.007873581080417e-05
बनीं,136,0.00010284354849564843
करेंगी,1073,0.0008114053495281674
कराएंगे,125,9.452532030850039e-05
महिमामंडन,1,7.562025624680032e-07
जगह,17,1.2855443561956053e-05
जानता,94,7.10830408719923e-05
दिखेंगी,210,0.00015880253811828066
पाकिस्तान,21,1.588025381182807e-05
साधा,741,0.0005603460987887904
खुलासा..,1,7.562025624680032e-07
लीजिए..,7,5.293417937276022e-06
लीजिए.,1,7.562025624680032e-07
कांग्रेस,36,2.7223292248848114e-05
घेरा,110,8.318228187148034e-05
कसा,95,7.183924343446031e-05
क्या,503,0.0003803698889214056
करूं,89,6.730202805965229e-05
बनेगी,231,0.00017468279193010874
ना,60,4.537215374808019e-05
हुआ..,53,4.007873581080417e-05
हाल,49,3.7053925560932156e-05
खबर..,68,5.1421774247824214e-05
टी,53,4.007873581080417e-05
एस,275,0.00020795570467870087
वी,135,0.00010208734593318043
आर,241,0.00018224481755478876
चलेगा,597,0.0004514529297933979
पहुंचा,554,0.0004189362196072738
सकेगा,733,0.0005542964782890463
नेता,33,2.4954684561444106e-05
खन्ना..,1,7.562025624680032e-07
प्रार्थना,1,7.562025624680032e-07
सर,57,4.310354606067618e-05
आओगे,12,9.074430749616038e-06
मिलीं,290,0.0002192987431157209
आया,2036,0.0015396284171848545
रहीं,888,0.0006715078754715868
लोकेशन,1,7.562025624680032e-07
लगाए,623,0.000471114196417566
लाए,49,3.7053925560932156e-05
देखा,449,0.00033953495054813343
निकलेगा,45,3.402911531106014e-05
